PlayerID,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW22,GW23,GW24,GW25,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
127,7,1,1,1,1,0,0,0,0,5,1,9,2,0,1,1,1,1,3,1,1,1,0,2,0,0,0,0,0,0,0,0,-1,1,1,0,2,2
128,6,1,1,2,1,8,0,0,6,0,7,0,2,0,2,2,6,2,3,8,6,6,2,0,1,0,0,0,0,0,0,0,1,1,2,0,2,2
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,11,2,2,2,2,1,0,0,1,2,1,3,8,0,2,1,3,2,1,2,3,1,2,5,4,0,0,1,1,0,1,0,1,2,6,1,2,3
131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,0,0,0,1,1,2,0,0,1,4,3,3,1,1,1,2,0,1,3,1,0,0,0,1,0,3,9,2,3,1,1,0,2,4,0,1,0,1
133,0,0,0,0,0,0,0,0,2,6,10,8,3,0,0,0,9,3,3,10,9,10,2,2,1,6,3,1,8,3,6,0,1,3,3,0,3,3
134,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,2,5,0,0,0
135,0,0,1,0,2,0,0,0,0,1,0,0,0,1,0,1,0,1,3,6,3,1,1,0,1,0,0,0,0,0,1,0,0,1,4,1,4,0
136,1,2,2,2,1,1,0,0,1,3,3,3,3,0,2,1,0,0,0,0,0,0,3,0,2,3,2,1,1,0,0,0,0,0,1,4,3,1
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,9,0,1,1,1,10,0,0,2,0,5,0,2,1,0,0,0,0,0,0,0,1,1,2,1,10,8,1,9,0,1,0,1,1,2,0,0,0
140,1,1,1,1,0,1,0,0,4,8,0,1,1,2,1,1,3,2,1,0,0,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,2,1
141,0,0,0,2,0,0,0,0,0,6,6,6,2,-2,1,2,1,0,0,6,5,0,0,1,0,1,1,1,0,1,0,0,1,1,2,2,2,1
142,3,2,2,1,5,1,0,0,1,12,15,3,2,2,2,2,10,2,4,3,3,3,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
